WarNum,deaths,WDuratDays,OutcomeD,Americas,WarTypeD,side,Init
675,150,234,Side A,Not in Americas,Civil War: Local Issues,A,0
675.5,10000,321,Side A,Not in Americas,Civil War: Central Control,A,0
676,-9,105,Side A,Not in Americas,Other,A,1
676.5,-9,452,Other,Not in Americas,Civil War: Local Issues,A,1
677,702000,1062,Side A,Not in Americas,Civil War: Central Control,A,0
680,6250,109,Side A,Not in Americas,Civil War: Central Control,A,0
681,1500,73,Other,Not in Americas,Other,A,0
682,100,118,Side A,Not in Americas,Other,A,0
683,1000,321,Side B,Not in Americas,Civil War: Central Control,A,0
684,-9,203,Side A,Not in Americas,Other,A,1
684.5,-9,517,Side A,Not in Americas,Civil War: Central Control,A,0
685,-9,10,Side B,Not in Americas,Other,A,0
685.5,10000,277,Side A,Not in Americas,Civil War: Local Issues,A,0
686,1700,285,Side A,Not in Americas,Civil War: Local Issues,A,0
687,-9,1237,Side A,Not in Americas,Civil War: Local Issues,A,0
688,300,707,Side A,Not in Americas,Other,A,1
689,1100,556,Side A,Not in Americas,Civil War: Local Issues,A,0
690,1900,12,Side A,Not in Americas,Civil War: Central Control,A,0
691,2500,587,Side A,Not in Americas,Civil War: Central Control,A,0
692,2500,7,Side B,Not in Americas,Civil War: Central Control,A,1
693,500,6,Side A,Not in Americas,Civil War: Central Control,A,0
695,-9,157,Side A,Americas,Civil War: Central Control,A,0
696,2000,82,Side B,Americas,Civil War: Central Control,A,0
697,700,361,Side A,Not in Americas,Civil War: Central Control,A,0
697.3,-9,61,Side B,Not in Americas,Civil War: Central Control,A,1
697.6,2250,219,Side A,Not in Americas,Civil War: Local Issues,A,0
697.8,600,361,Side B,Not in Americas,Other,A,1
698,-9,149,Other,Not in Americas,Other,A,1
700,-9,767,Side B,Not in Americas,Civil War: Central Control,A,0
701,55000,1039,Other,Americas,Civil War: Central Control,A,0
702,-9,133,Side A,Not in Americas,Other,A,0
702.5,-9,343,Other,Not in Americas,Civil War: Local Issues,A,0
703,-9,556,Side A,Not in Americas,Civil War: Local Issues,A,0
705,3750,334,Side A,Not in Americas,Civil War: Central Control,A,0
707,400,62,Side A,Americas,Civil War: Central Control,A,0
707.3,-9,281,Side A,Not in Americas,Civil War: Central Control,A,1
707.5,37500,477,Side A,Not in Americas,Civil War: Central Control,A,1
708,-9,210,Side A,Not in Americas,Civil War: Local Issues,A,1
709,700,167,Side A,Not in Americas,Civil War: Local Issues,A,1
710,200000,2211,Other,Not in Americas,Civil War: Central Control,A,1
711,-9,316,Other,Not in Americas,Other,A,0
711.5,-9,669,Side B,Not in Americas,Other,A,1
712,100,12,Side A,Americas,Civil War: Central Control,A,0
712.5,600,184,Side A,Not in Americas,Civil War: Local Issues,A,0
713,110,71,Side A,Americas,Civil War: Central Control,A,0
715,1050,86,Side A,Americas,Civil War: Central Control,A,0
715.6,-9,325,Side A,Not in Americas,Other,A,0
716,-9,86,Side A,Not in Americas,Civil War: Central Control,A,1
717,284,15,Side A,Not in Americas,Civil War: Central Control,A,0
718,181300,972,Side B,Not in Americas,Civil War: Central Control,A,0
718.5,200,398,Side A,Not in Americas,Civil War: Central Control,A,0
719,-9,1012,Other,Not in Americas,Civil War: Central Control,A,1
719.6,-9,146,Side A,Not in Americas,Civil War: Local Issues,A,0
719.8,-9,340,Other,Not in Americas,Civil War: Local Issues,A,0
720,737,39,Side A,Not in Americas,Civil War: Central Control,A,0
721,13100,911,Side A,Not in Americas,Civil War: Local Issues,A,0
722,25000,954,Side A,Not in Americas,Civil War: Local Issues,A,0
723,20000,1674,Side A,Not in Americas,Civil War: Local Issues,A,0
723.5,600000,1662,Side B,Not in Americas,Civil War: Central Control,A,0
724,18180,1325,Side A,Not in Americas,Civil War: Central Control,A,0
726,200,22,Side A,Not in Americas,Civil War: Local Issues,A,0
727,1500,164,Side A,Americas,Civil War: Central Control,A,0
728,-9,26,Side B,Not in Americas,Civil War: Central Control,A,0
730,1500,36,Side B,Americas,Civil War: Central Control,A,0
730.5,1352,969,Other,Not in Americas,Civil War: Central Control,A,0
731,16800,1954,Side A,Americas,Civil War: Central Control,A,0
732.5,250,811,Side A,Not in Americas,Civil War: Central Control,A,1
733,1578,1474,Side A,Not in Americas,Civil War: Local Issues,A,0
734,-9,111,Side A,Not in Americas,Civil War: Local Issues,A,1
736,8000,4114,Side A,Not in Americas,Civil War: Central Control,A,1
737,-9,4,Side B,Americas,Civil War: Central Control,A,0
739,-9,2719,Other,Americas,Civil War: Central Control,A,1
740,-9,95,Side B,Americas,Civil War: Central Control,A,0
740.5,-9,661,Side A,Not in Americas,Civil War: Local Issues,A,0
741,10000,1124,Side A,Not in Americas,Civil War: Local Issues,A,1
741.5,-9,331,Other,Not in Americas,Civil War: Local Issues,A,1
742,4000,1257,Side A,Not in Americas,Civil War: Central Control,A,1
743,-9,86,Other,Not in Americas,Civil War: Central Control,A,0
745,2000,219,Side B,Americas,Civil War: Central Control,A,1
746,500,528,Other,Not in Americas,Civil War: Central Control,A,1
747,-9,4,Side A,Not in Americas,Civil War: Central Control,A,0
748,25458,1820,Other,Not in Americas,Civil War: Central Control,A,0
749,-9,2256,Other,Not in Americas,Civil War: Central Control,A,0
750,-9,911,Side A,Not in Americas,Civil War: Local Issues,A,0
752,4500,815,Other,Not in Americas,Civil War: Local Issues,A,0
753,-9,130,Side B,Not in Americas,Civil War: Central Control,A,0
755,-9,2693,Side A,Not in Americas,Civil War: Central Control,A,0
757,-9,286,Other,Not in Americas,Civil War: Local Issues,A,0
758,-9,3049,Other,Not in Americas,Civil War: Local Issues,A,0
760,100,205,Side A,Not in Americas,Civil War: Central Control,A,0
